('ng', 'x', 'n')
('x', 'zg', 'ad')
('y', 'v', 'n')
('ul', 'x', 'ag')
('n', 'ng', 'uj')
('x', 'vg', 'r')
('x', 't', 'y')
('c', 'c', 'n')
('vn', 'm', 'x')
('a', 'v', 'u')
('y', 'o', 'uj')
('n', 'ns', 'n')
('n', 'a', 'vn')
('m', 'x', 'eng')
('j', 'n', 'n')
('i', 'x', 'd')
('c', 'nr', 'v')
('x', 'a', 'ud')
('nr', 'ud', 'v')
('j', 'x', 'v')
('x', 'nr', 't')
('uj', 't', 'a')
('v', 'n', 'n')
('a', 'y', 'm')
('uj', 'n', 'r')
('uj', 'tg', 'nr')
('a', 'vn', 'n')
('x', 'r', 'uj')
('n', 'uj', 'j')
('m', 'zg', 'a')
('n', 'uj', 'y')
('x', 'v', 'ud')
('nr', 'x', 'a')
('p', 'n', 'm')
('v', 'p', 'z')
('d', 'm', 'y')
('yg', 'p', 'vg')
('vn', 'u', 'x')
('x', 'nz', 'n')
('v', 'n', 'm')
('p', 'v', 'x')
('eng', 'a', 'uv')
('ag', 'zg', 'x')
('c', 'q', 'v')
('nr', 'n', 'q')
('ng', 'n', 'd')
('yg', 'v', 'm')
('q', 'v', 'r')
('r', 'x', 'yg')
('vg', 'n', 'n')
('a', 'n', 'an')
('r', 'q', 'ul')
('j', 'c', 'p')
('n', 'c', 'ad')
('v', 'c', 'p')
('p', 'ns', 'dg')
('d', 'l', 'n')
('x', 'i', 'uj')
('vn', 'r', 'v')
('v', 'p', 'y')
('o', 'q', 'x')
('r', 'nr', 'r')
('c', 'nr', 'x')
('u', 'n', 'uj')
('zg', 'm', 'd')
('j', 'p', 'n')
('f', 'vn', 'uj')
('nz', 'nr', 'nr')
('a', 'uv', 'd')
('u', 'uj', 'a')
('vn', 'x', 'ns')
('c', 'df', 'vn')
('r', 'uj', 'm')
('n', 'zg', 'nr')
('uj', 'ng', 'q')
('c', 'n', 'p')
('v', 'nrt', 'f')
('m', 'a', 'a')
('x', 'an', 'c')
('x', 'd', 'a')
('n', 'm', 'c')
('uj', 'r', 'a')
('p', 'vd', 'd')
('v', 'c', 'nz')
('f', 'a', 'nr')
('zg', 'd', 'q')
('r', 'a', 'nr')
('nr', 's', 'd')
('p', 'nr', 's')
('c', 'f', 'v')
('c', 'i', 'uv')
('v', 'n', 's')
('r', 'uj', 'b')
('p', 'y', 'x')
('r', 'ns', 'uj')
('l', 'nr', 'x')
('l', 'z', 'uj')
('q', 'd', 'uj')
('nr', 'ag', 'p')
('rz', 'x', 'x')
('o', 'n', 'v')
('a', 'p', 'n')
('p', 'x', 'nz')
('x', 'zg', 'i')
('ng', 'i', 'uv')
('n', 'f', 'v')
('uj', 'n', 'ad')
('v', 'n', 'r')
('x', 'l', 'n')
('ns', 'ul', 'x')
('p', 'nr', 'r')
('z', 'v', 's')
('y', 'uv', 'v')
('v', 'z', 'uj')
('i', 'ul', 'x')
('b', 'x', 'v')
('p', 'm', 'nr')
('v', 'm', 'ul')
('p', 'n', 'ad')
('nr', 'nr', 'v')
('d', 'v', 'nrt')
('x', 'm', 'x')
('a', 'ng', 'vg')
('t', 't', 'uj')
('vn', 'x', 'f')
('c', 'zg', 'n')
('x', 'p', 'r')
('x', 'f', 'n')
('vd', 'ul', 'r')
('ng', 'uj', 'v')
('ul', 'n', 'vn')
('n', 'yg', 'r')
