File name: ../wordfreq/cityup/1.txt
人 95/6674 = 0.0142343422236
裏 83/6674 = 0.0124363200479
跟 81/6674 = 0.0121366496853
上 79/6674 = 0.0118369793227
地 79/6674 = 0.0118369793227
這 78/6674 = 0.0116871441414
很 77/6674 = 0.0115373089601
會 69/6674 = 0.0103386275097
看 69/6674 = 0.0103386275097
沒有 67/6674 = 0.0100389571471
好 67/6674 = 0.0100389571471
到 66/6674 = 0.00988912196584
想 65/6674 = 0.00973928678454
什麼 62/6674 = 0.00928978124064
還 57/6674 = 0.00854060533413
自己 56/6674 = 0.00839077015283
又 54/6674 = 0.00809109979023
要 52/6674 = 0.00779142942763
File name: ../wordfreq/9knife/12.txt
的 125/484 = 0.25826446281
我 67/484 = 0.138429752066
了 58/484 = 0.119834710744
在 38/484 = 0.0785123966942
媽媽 24/484 = 0.0495867768595
棒 24/484 = 0.0495867768595
地 20/484 = 0.0413223140496
那 19/484 = 0.0392561983471
說 19/484 = 0.0392561983471
就 15/484 = 0.0309917355372
被 12/484 = 0.0247933884298
還 11/484 = 0.0227272727273
將 11/484 = 0.0227272727273
上 11/484 = 0.0227272727273
裏 11/484 = 0.0227272727273
什麼 10/484 = 0.0206611570248
一 9/484 = 0.0185950413223
File name: ../wordfreq/9knife/13.txt
的 200/806 = 0.248138957816
了 61/806 = 0.075682382134
我 53/806 = 0.0657568238213
在 45/806 = 0.0558312655087
棒 39/806 = 0.0483870967742
我們 34/806 = 0.0421836228288
說 25/806 = 0.031017369727
都 25/806 = 0.031017369727
就 23/806 = 0.0285359801489
地 22/806 = 0.0272952853598
也 20/806 = 0.0248138957816
還 18/806 = 0.0223325062035
很 18/806 = 0.0223325062035
不 18/806 = 0.0223325062035
那 17/806 = 0.0210918114144
上 17/806 = 0.0210918114144
大 15/806 = 0.0186104218362
跟 15/806 = 0.0186104218362
什麼 14/806 = 0.0173697270471
將 13/806 = 0.0161290322581
這 13/806 = 0.0161290322581
被 13/806 = 0.0161290322581
會 12/806 = 0.014888337469
有 12/806 = 0.014888337469
一定 12/806 = 0.014888337469
沒有 12/806 = 0.014888337469
把 11/806 = 0.0136476426799
要 10/806 = 0.0124069478908
知道 10/806 = 0.0124069478908
不是 9/806 = 0.0111662531017
File name: ../wordfreq/9knife/14.txt
的 265/932 = 0.284334763948
我 78/932 = 0.0836909871245
了 66/932 = 0.0708154506438
在 60/932 = 0.0643776824034
棒 48/932 = 0.0515021459227
地 37/932 = 0.0396995708155
上 23/932 = 0.024678111588
說 23/932 = 0.024678111588
就 22/932 = 0.0236051502146
我們 22/932 = 0.0236051502146
都 20/932 = 0.0214592274678
你 18/932 = 0.019313304721
老師 18/932 = 0.019313304721
也 17/932 = 0.0182403433476
很 15/932 = 0.0160944206009
到 15/932 = 0.0160944206009
裏 15/932 = 0.0160944206009
跟 15/932 = 0.0160944206009
教室 15/932 = 0.0160944206009
大 14/932 = 0.0150214592275
被 14/932 = 0.0150214592275
不 13/932 = 0.0139484978541
時間 13/932 = 0.0139484978541
還 11/932 = 0.0118025751073
將 11/932 = 0.0118025751073
後 11/932 = 0.0118025751073
這 11/932 = 0.0118025751073
謝 11/932 = 0.0118025751073
那 11/932 = 0.0118025751073
許 11/932 = 0.0118025751073
File name: ../wordfreq/9knife/15.txt
的 581/2217 = 0.262065854759
了 139/2217 = 0.0626973387461
在 82/2217 = 0.0369869192603
醫生 74/2217 = 0.0333784393324
母親 57/2217 = 0.0257104194858
沒有 53/2217 = 0.0239061795219
都 47/2217 = 0.021199819576
也 45/2217 = 0.020297699594
我 40/2217 = 0.0180423996392
自己 36/2217 = 0.0162381596752
就 33/2217 = 0.0148849797023
有 32/2217 = 0.0144339197113
又 30/2217 = 0.0135317997294
說 29/2217 = 0.0130807397384
不 29/2217 = 0.0130807397384
地 27/2217 = 0.0121786197564
什麼 27/2217 = 0.0121786197564
你 26/2217 = 0.0117275597654
會 25/2217 = 0.0112764997745
到 25/2217 = 0.0112764997745
